=== RESUMO ESTATÍSTICO ===

TAREFA A - LAÇO IRREGULAR
----------------------------------------------------------------------------------------------------
          tarefa       n    k  threads      mean      std  chunk
 tarefa_a_guided  100000 20.0        2  0.042530 0.006885    4.0
 tarefa_a_guided  100000 20.0        2  0.039747 0.000803   16.0
 tarefa_a_guided  100000 20.0        2  0.040975 0.003620   64.0
 tarefa_a_guided  100000 20.0        4  0.024096 0.002872    1.0
 tarefa_a_guided  100000 20.0        4  0.021946 0.002006    4.0
 tarefa_a_guided  100000 20.0        4  0.023918 0.003702   16.0
 tarefa_a_guided  100000 20.0        4  0.022521 0.002856   64.0
 tarefa_a_guided  100000 20.0        8  0.016862 0.001479    1.0
 tarefa_a_guided  100000 20.0        8  0.018131 0.001621    4.0
 tarefa_a_guided  100000 20.0        8  0.018535 0.000846   16.0
 tarefa_a_guided  100000 20.0        8  0.019064 0.001121   64.0
 tarefa_a_guided  100000 20.0       16  0.015133 0.000815    1.0
 tarefa_a_guided  100000 20.0       16  0.014818 0.000902    4.0
 tarefa_a_guided  100000 20.0       16  0.015072 0.001242   16.0
 tarefa_a_guided  100000 20.0       16  0.014404 0.000488   64.0
 tarefa_a_guided  100000 24.0        1  0.471303 0.001970    1.0
 tarefa_a_guided  100000 24.0        1  0.458915 0.001687    4.0
 tarefa_a_guided  100000 24.0        1  0.459354 0.002211   16.0
 tarefa_a_guided  100000 24.0        1  0.465960 0.005982   64.0
 tarefa_a_guided  100000 24.0        2  0.255187 0.012896    1.0
 tarefa_a_guided  100000 24.0        2  0.243228 0.006100    4.0
 tarefa_a_guided  100000 24.0        2  0.252006 0.017537   16.0
 tarefa_a_guided  100000 24.0        2  0.252132 0.007382   64.0
 tarefa_a_guided  100000 24.0        4  0.150160 0.009202    1.0
 tarefa_a_guided  100000 24.0        4  0.144874 0.012547    4.0
 tarefa_a_guided  100000 24.0        4  0.145415 0.011255   16.0
 tarefa_a_guided  100000 24.0        4  0.145697 0.012140   64.0
 tarefa_a_guided  100000 24.0        8  0.100428 0.003346    1.0
 tarefa_a_guided  100000 24.0        8  0.098532 0.007285    4.0
 tarefa_a_guided  100000 24.0        8  0.098305 0.005165   16.0
 tarefa_a_guided  100000 24.0        8  0.099273 0.005393   64.0
 tarefa_a_guided  100000 24.0       16  0.091988 0.003516    1.0
 tarefa_a_guided  100000 24.0       16  0.091468 0.001275    4.0
 tarefa_a_guided  100000 24.0       16  0.092950 0.006664   16.0
 tarefa_a_guided  100000 24.0       16  0.092500 0.002319   64.0
 tarefa_a_guided  100000 28.0        1  2.698995 0.005200    1.0
 tarefa_a_guided  100000 28.0        1  2.704312 0.014211    4.0
 tarefa_a_guided  100000 28.0        1  2.694990 0.006070   16.0
 tarefa_a_guided  100000 28.0        1  2.696053 0.011884   64.0
 tarefa_a_guided  100000 28.0        2  1.440812 0.029041    1.0
 tarefa_a_guided  100000 28.0        2  1.452758 0.024064    4.0
 tarefa_a_guided  100000 28.0        2  1.451895 0.024551   16.0
 tarefa_a_guided  100000 28.0        2  1.459093 0.040318   64.0
 tarefa_a_guided  100000 28.0        4  0.850579 0.033778    1.0
 tarefa_a_guided  100000 28.0        4  0.839802 0.041642    4.0
 tarefa_a_guided  100000 28.0        4  0.848425 0.025522   16.0
 tarefa_a_guided  100000 28.0        4  0.854390 0.028144   64.0
 tarefa_a_guided  100000 28.0        8  0.565116 0.008634    1.0
 tarefa_a_guided  100000 28.0        8  0.569713 0.011800    4.0
 tarefa_a_guided  100000 28.0        8  0.578226 0.009745   16.0
 tarefa_a_guided  100000 28.0        8  0.635040 0.047657   64.0
 tarefa_a_guided  100000 28.0       16  0.541339 0.010837    1.0
 tarefa_a_guided  100000 28.0       16  0.526533 0.009841    4.0
 tarefa_a_guided  100000 28.0       16  0.543349 0.023028   16.0
 tarefa_a_guided  100000 28.0       16  0.535178 0.014563   64.0
 tarefa_a_guided  500000 20.0        1  0.373531 0.003094    1.0
 tarefa_a_guided  500000 20.0        1  0.372289 0.001327    4.0
 tarefa_a_guided  500000 20.0        1  0.371074 0.002247   16.0
 tarefa_a_guided  500000 20.0        1  0.373171 0.002404   64.0
 tarefa_a_guided  500000 20.0        2  0.203497 0.015634    1.0
 tarefa_a_guided  500000 20.0        2  0.198111 0.014410    4.0
 tarefa_a_guided  500000 20.0        2  0.204425 0.016948   16.0
 tarefa_a_guided  500000 20.0        2  0.202010 0.015400   64.0
 tarefa_a_guided  500000 20.0        4  0.110111 0.005683    1.0
 tarefa_a_guided  500000 20.0        4  0.115428 0.005732    4.0
 tarefa_a_guided  500000 20.0        4  0.118339 0.013617   16.0
 tarefa_a_guided  500000 20.0        4  0.112713 0.006500   64.0
 tarefa_a_guided  500000 20.0        8  0.078255 0.002093    1.0
 tarefa_a_guided  500000 20.0        8  0.080864 0.002872    4.0
 tarefa_a_guided  500000 20.0        8  0.077151 0.003664   16.0
 tarefa_a_guided  500000 20.0        8  0.077691 0.003748   64.0
 tarefa_a_guided  500000 20.0       16  0.074535 0.006163    1.0
 tarefa_a_guided  500000 20.0       16  0.071902 0.001945    4.0
